				Main Stats										TM #																
Rising Voltage	804	Electric	Special	20	32	70	100%	4.17	0	Selected																				
Terrain Pulse	805	Normal	Special	10	16	50	100%	4.17	0	Selected																				
Skitter Smack	806	Bug	Physical	10	16	70	90%	4.17	0	Selected	Lowers Foe's Sp. Atk by 1		100%																	219
Burning Jealousy	807	Fire	Special	5	8	70	100%	4.17	0	Adjacent Foes	Burns Foe if They Raised a Stat This Turn		100%																	195
Lash Out	808	Dark	Physical	5	8	75	100%	4.17	0	Selected	100% Damage if User Had a Stat Lowered This Turn		100%																	199
Poltergeist	809	Ghost	Physical	5	8	110	90%	4.17	0	Selected																				198
Corrosive Gas	810	Poison	Status	40	64	0	100%	None	0	Selected	Removes Foe's Held Item		100%																	
Coaching	811	Fighting	Status	10	16	0	101%	None	0	Selected	Raises Team's Atk and Def by 1		100%																	213
Flip Turn	812	Water	Physical	20	32	60	100%	4.17	0	Selected	User Switches Out		100%																	
Triple Axel	813	Ice	Physical	10	16	20	90%	4.17	0	Selected																				212
Dual Wingbeat	814	Flying	Physical	10	16	40	90%	4.17	0	Selected	Hits 2 Times		100%																	197
Scorching Sands	815	Ground	Special	10	16	70	100%	4.17	0	Selected	Burns Foe		30%																	215
Jungle Healing	816	Grass	Status	10	16	0	101%	None	0	All Allies	Heals All Allies 25% HP; Heals Statuses		100%																	
Wicked Blow	817	Dark	Physical	5	8	75	100%	100	0	Selected																				
Surging Strikes	818	Water	Physical	5	8	25	100%	100	0	Selected	Hits 3 Times		100%																	
Thunder Cage	819	Electric	Special	15	24	80	90%	4.17	0	Selected																				
Dragon Energy	820	Dragon	Special	5	8	150	100%	4.17	0	Adjacent Foes	BP = (Current HP * 150) / Max HP		100%																	
Freezing Glare	821	Psychic	Special	10	16	90	100%	4.17	0	Selected	Freezes Foe		10%																	
Fiery Wrath	822	Dark	Special	10	16	90	100%	4.17	0	Adjacent Foes	Flinches Foe		20%																	
Thunderous Kick	823	Fighting	Physical	10	16	90	100%	4.17	0	Selected	Lowers Foe's Def by 1		100%																	
Glacial Lance	824	Ice	Physical	5	8	120	100%	4.17	0	Adjacent Foes																				
Astral Barrage	825	Ghost	Special	5	8	120	100%	4.17	0	Adjacent Foes																				
Eerie Spell	826	Psychic	Special	5	8	80	100%	4.17	0	Selected	Foe's Last Move Loses 3 PP		100%																	
Dire Claw	827	Poison	Physical	15	24	80	100%	4.17	0	Selected	Poisons, Paralyzes, or Sleeps All Foes		50%																	
Psyshield Bash	828	Psychic	Physical	10	16	70	90%	4.17	0	Selected	Raises User's Def by 1		100%																	
Power Shift	829	Normal	Status	10	16	0	101%	None	0	Selected																				
Stone Axe	830	Rock	Physical	15	24	65	90%	4.17	0	Selected	Activates Stealth Rocks		100%																	
Springtide Storm	831	Fairy	Special	5	8	100	80%	4.17	0	Adjacent Foes	Lowers Foe's Atk by 1		30%																	
Mystical Power	832	Psychic	Special	10	16	70	90%	4.17	0	Selected	Raises User's Sp. Atk by 1		100%																	
Raging Fury	833	Fire	Physical	10	16	120	100%	4.17	0	Selected	Uses Same Move for 2-3 Turns; Confuses User After		100%																	
Wave Crash	834	Water	Physical	10	16	120	100%	4.17	0	Selected																				
Chloroblast	835	Grass	Special	5	8	150	95%	4.17	0	Selected	User Loses 50% HP		100%																	
Mountain Gale	836	Ice	Physical	10	16	100	85%	4.17	0	Selected	Flinches Foe		30%																	
Victory Dance	837	Fighting	Status	10	16	0	101%	None	0	Selected	Raises User's Atk, Spd, Def by 1		100%																	
Headlong Rush	838	Ground	Physical	5	8	120	100%	4.17	0	Selected	Lowers User's Def and Sp. Def by 1		100%																	
Barb Barrage	839	Poison	Physical	10	16	60	100%	4.17	0	Selected	Poisons Foe; 100% Damage if Foe is Poisoned		50%																	
Esper Wing	840	Psychic	Special	10	16	80	100%	4.17	0	Selected	Raises User's Spd by 1		100%																	
Bitter Malice	841	Ghost	Special	10	16	75	100%	4.17	0	Selected	Lowers Foe's Atk by 1		100%																	
Shelter	842	Steel	Status	10	16	0	101%	None	0	Selected	Raises User's Def by 2		100%																	
Triple Arrows	843	Fighting	Physical	10	16	90	100%	4.17	0	Selected	Lowers Foe's Def by 1 (50%); Flinches Foe (30%)		65%																	
Infernal Parade	844	Ghost	Special	15	24	60	100%	4.17	0	Selected	100% Damage if Foe is Statused; Burns Foe		30%																	
Ceaseless Edge	845	Dark	Physical	15	24	65	90%	4.17	0	Selected	Activates Spikes		100%																	
Bleakwind Storm	846	Flying	Special	10	16	100	80%	4.17	0	Adjacent Foes	Lowers All Foe's Spd by 1; 100% Accuracy in Rain		30%																	
Wildbolt Storm	847	Electric	Special	10	16	100	80%	4.17	0	Adjacent Foes	100% Accuracy in Rain; Paralyzes Foe		20%																	
Sandsear Storm	848	Ground	Special	10	16	100	80%	4.17	0	Adjacent Foes	100% Accuracy in Rain; Burns Foe		20%																	
Lunar Blessing	849	Psychic	Status	5	8	0	101%	None	0	All Allies	Heals All Allies 25% HP; Heals Statuses		100%																	
Take Heart	850	Psychic	Status	15	24	0	101%	None	0	Selected	Raises User's Sp. Atk and Sp. Def by 1; User Recovers from Statuses		100%																	
Tera Blast	851	Normal	Special	10	16	80	100%	4.17	0	Selected	Move Type is the Tera Type; Inflicts Higher of Physical or Special		100%																	171
Tera Blast (Stellar)	851										Super Effective to Terastallized; Lowers User's Atk and Sp. Atk by 1		100%																	171
Silk Trap	852	Bug	Status	10	16	0	101%	None	4	Selected	Protects User from Attacks; Lowers Foe's Spd by 1 if Direct Contact is Made	Success: 1 / ((Successive Use)-1)^3)	100%																	
Axe Kick	853	Fighting	Physical	10	16	120	90%	4.17	0	Selected	50% Recoil if Miss; Confuses Foe		30%																	
Last Respects	854	Ghost	Physical	10	16	50	100%	4.17	0	Selected	BP = 50 + (Fainted Ally * 50)		100%																	
Lumina Crash	855	Psychic	Special	10	16	80	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 2		100%																	
Order Up	856	Dragon	Physical	10	16	80	100%	4.17	0	Selected	Raises Atk if Curly, Def if Droopy, Spd if Stretchy by 1		100%																	
Jet Punch	857	Water	Physical	15	24	60	100%	4.17	1	Selected																				
Spicy Extract	858	Grass	Status	15	24	0	101%	None	0	Selected	Raises Target's Atk by 2; Lowers Target's Def by 2		100%																	
Spin Out	859	Steel	Physical	5	8	100	100%	4.17	0	Selected	Lowers User's Spd by 2		100%																	
Population Bomb	860	Normal	Physical	10	16	20	90%	4.17	0	Selected																				
Ice Spinner	861	Ice	Physical	15	24	80	100%	4.17	0	Selected	Destroys Terrains		100%																	124
Glaive Rush	862	Dragon	Physical	5	8	120	100%	4.17	0	Selected	Attacks on User Can Not miss and Deal 100% Damage Next Turn		100%																	
Revival Blessing	863	Normal	Status	1	1	0	101%	None	0	Selected	Heals a Fainted Party Ally to 50% HP		100%																	
Salt Cure	864	Rock	Physical	15	24	40	100%	4.17	0	Selected	Deals 1/8 HP Every Turn; Deals 1/4 HP if Water or Steel-Type		100%																	
Triple Dive	865	Water	Physical	10	16	30	95%	4.17	0	Selected	Hits 3 Times		100%																	
Mortal Spin	866	Poison	Physical	15	24	30	100%	4.17	0	Adjacent Foes	Poisons Foe		100%																	
Doodle	867	Normal	Status	10	16	0	100%	None	0	Selected	Changes Team's Ability to Target's Ability		100%																	
Fillet Away	868	Normal	Status	10	16	0	101%	None	0	Selected	User Loses 50% HP; Raises User's Atk, Sp. Atk, Spd by 2		100%																	
Kowtow Cleave	869	Dark	Physical	10	16	85	101%	4.17	0	Selected																				
Flower Trick	870	Grass	Physical	10	16	70	101%	100	0	Selected																				
Torch Song	871	Fire	Special	10	16	80	100%	4.17	0	Selected	Raises User's Sp. Atk by 1		100%																	
Aqua Step	872	Water	Physical	10	16	80	100%	4.17	0	Selected	Raises User's Spd by 1		100%																	
Raging Bull	873	Normal	Physical	10	16	90	100%	4.17	0	Selected																				
Make It Rain	874	Steel	Special	5	8	120	100%	4.17	0	Adjacent Foes	Lowers User's Sp. Atk by 1; User Gains Extra Money		100%																	
Psyblade	875	Psychic	Physical	15	24	80	100%	4.17	0	Selected																				
Hydro Steam	876	Water	Special	15	24	80	100%	4.17	0	Selected	50% Damage in Harsh Sunlight		100%																	
Ruination	877	Dark	Special	10	16	0	90%	4.17	0	Selected																				
Collision Course	878	Fighting	Physical	5	8	100	100%	4.17	0	Selected	33% Damage if Foe is Weak to Fighting-Type		100%																	
Electro Drift	879	Electric	Special	5	8	100	100%	4.17	0	Selected	33% Damage if Foe is Weak to Electric-Type																			
Shed Tail	880	Normal	Status	10	16	0	101%	None	0	Selected																				
Chilly Reception	881	Ice	Status	10	16	0	101%	None	0	All	Switches Out User; Actvates Snowstorm		100%																	
Tidy Up	882	Normal	Status	10	16	0	101%	None	0	Selected	Removes Trapping Moves; Raises User's Atk and Spd by 1		100%																	
Snowscape	883	Ice	Status	10	16	0	101%	None	0	All	Activates Snowstorm		100%																	52
Pounce	884	Bug	Physical	20	32	50	100%	4.17	0	Selected	Lowers Foe's Spd by 1		100%																	21
Trailblaze	885	Grass	Physical	20	32	50	100%	4.17	0	Selected	Raises User's Spd by 1		100%																	20
Chilling Water	886	Water	Special	20	32	50	100%	4.17	0	Selected	Lowers Foe's Atk by 1		100%																	22
Hyper Drill	887	Normal	Physical	5	8	100	100%	4.17	0	Selected	Ignores Any Protect Moves		100%																	
Twin Beam	888	Psychic	Special	10	16	40	100%	4.17	0	Selected	Hits 2 Times		100%																	
Rage Fist	889	Ghost	Physical	10	16	50	100%	4.17	0	Selected																				
Armor Cannon	890	Fire	Special	5	8	120	100%	4.17	0	Selected	Lowers User's Def and Sp. Def by 1		100%																	
Bitter Blade	891	Fire	Physical	10	16	90	100%	4.17	0	Selected	50% Lifesteal		100%																	
Double Shock	892	Electric	Physical	5	8	120	100%	4.17	0	Selected	User Loses Electric-Type; Fails if User is Not a Electric-Type		100%																	
Gigaton Hammer	893	Steel	Physical	5	8	160	100%	4.17	0	Selected	Can Not Use this Move Twice in a Row		100%																	
Comeuppance	894	Dark	Physical	10	16	0	100%	4.17	0	Selected	Attacks Foe that Last Damaged User with 150% Damage Recieved		100%																	
Aqua Cutter	895	Water	Physical	20	32	70	100%	12.5	0	Selected																				
Blazing Torque	896	Fire	Physical	10	16	80	100%	4.17	0	Selected	Burns Foe		30%																	
Wicked Torque	897	Dark	Physical	10	16	80	100%	4.17	0	Selected	Sleeps Foe		10%																	
Noxious Torque	898	Poison	Physical	10	16	80	100%	4.17	0	Selected	Poisons Foe		30%																	
Combat Torque	899	Fighting	Physical	10	16	100	100%	4.17	0	Selected	Paralyzes Foe		30%																	
Magical Torque	900	Fairy	Physical	10	16	100	100%	4.17	0	Selected	Confuses Foe		30%																	
Blood Moon	901	Normal	Special	5	8	140	100%	4.17	0	Selected	Can Not Use this Move Twice in a Row		100%																	
Matcha Gotcha	902	Grass	Special	15	24	80	90%	4.17	0	Adjacent Foes	50% Lifesteal; Burns Foe		20%																	
Syrup Bomb	903	Grass	Special	10	16	60	85%	4.17	0	Selected	Lowers Foe's Spd by 1 for 3 Turns		100%																	
Ivy Cudgel	904	Grass	Physical	10	16	100	100%	4.17	0	Selected	Move Type Depends on Mask Worn by User		100%																	
Electro Shot	905	Electric	Special	10	16	130	100%	4.17	0	Selected	Raises User's Sp. Atk by 1; Attacks Next Turn; No Charge in Rain		100%																	
Tera Starstorm	906	Normal	Special	5	8	120	100%	4.17	0	Selected																				
Fickle Beam	907	Dragon	Special	5	8	80	100%	4.17	0	Selected	100% Damage		30%																	
Burning Bulwark	908	Fire	Status	10	16	0	101%	None	4	Selected	Protects User from Attacks; Burns Foe if Direct Contact is Made	Success: 1 / ((Successive Use)-1)^3)	100%																	
Thunderclap	909	Electric	Special	5	8	70	100%	4.17	1	Selected																				
Mighty Cleave	910	Rock	Physical	5	8	95	100%	4.17	0	Selected	Ignores Any Protect Moves		100%																	
Tachyon Cutter	911	Steel	Special	10	16	50	101%	4.17	0	Selected	Hits 2 Times		100%																	
Hard Press	912	Steel	Physical	10	16	0	100%	4.17	0	Selected	Higher Power the Higher the Foe's HP		100%																	225
Dragon Cheer	913	Dragon	Status	15	24	0	101%	None	0	Selected	Raises Ally's Critical Hit Rate by 1; Raise by 2 if Dragon-Type; Can not be Used Multiple Times		100%																	226
Alluring Voice	914	Fairy	Special	10	16	80	100%	4.17	0	Selected	Confuses Foe		100%																	227
Temper Flare	915	Fire	Physical	10	16	75	100%	4.17	0	Selected																				207
Supercell Slam	916	Electric	Physical	15	24	100	95%	4.17	0	Selected																				210
Psychic Noise	917	Psychic	Special	10	16	75	100%	4.17	0	Selected	Prevents Foe From Healing for 2 Turns		100%																	228
Upper Hand	918	Fighting	Physical	15	24	65	100%	4.17	3	Selected																				229
Malignant Chain	919	Poison	Special	5	8	100	100%	4.17	0	Selected	Badly Poisons Foe		40%																	
G-Max Wildfire	G1	Fire	Physical	10	16	--	101%	4.17	0	Selected	Inflicts 1/6 HP to All Non-Fire Type Foes for 4 Turns		--%																	
G-Max Malodor	G10	Poison	Physical	10	16	--	101%	4.17	0	Selected	Poisons All Foes		--%																	
G-Max Stonesurge	G11	Water	Physical	10	16	--	101%	4.17	0	Selected	Activates Stealth Rocks		--%																	
G-Max Wind Rage	G12	Flying	Physical	10	16	--	101%	4.17	0	Selected	Destroys Protective Barriers		--%																	
G-Max Stun Shock	G13	Electric	Physical	10	16	--	101%	4.17	0	Selected	Poisons or Paralyzes All Foes		--%																	
G-Max Finale	G14	Fairy	Physical	10	16	--	101%	4.17	0	Selected	Heals 1/6 HP to Team		--%																	
G-Max Depletion	G15	Dragon	Physical	10	16	--	101%	4.17	0	Selected	Foe's Last Move Loses 4 PP		--%																	
G-Max Gravitas	G16	Psychic	Physical	10	16	--	101%	4.17	0	Selected	Activates Gravity		--%																	
G-Max Volcalith	G17	Rock	Physical	10	16	--	101%	4.17	0	Selected	Inflicts 1/6 HP to All Non-Rock Type Foes for 4 Turns		--%																	
G-Max Sandblast	G18	Ground	Physical	10	16	--	101%	4.17	0	Selected	Traps All Foes		--%																	
G-Max Snooze	G19	Dark	Physical	10	16	--	101%	4.17	0	Selected	All Foes Fall Asleep Next Turn		50%																	
G-Max Befuddle	G2	Bug	Physical	10	16	--	101%	4.17	0	Selected	Poisons, Paralyzes, or Sleeps All Foes		--%																	
G-Max Tartness	G20	Grass	Physical	10	16	--	101%	4.17	0	Selected	Lowers All Foe's Evasion by 1		--%																	
G-Max Sweetness	G21	Grass	Physical	10	16	--	101%	4.17	0	Selected	Heals Team's Status Conditions		--%																	
G-Max Smite	G22	Fairy	Physical	10	16	--	101%	4.17	0	Selected	Confuses All Foes		--%																	
G-Max Steelsurge	G23	Steel	Physical	10	16	--	101%	4.17	0	Selected	Activates Sharp Steel		--%																	
G-Max Meltdown	G24	Steel	Physical	10	16	--	101%	4.17	0	Selected	Torments all Foes		--%																	
G-Max Foam Burst	G25	Water	Physical	10	16	--	101%	4.17	0	Selected	Lowers All Foe's Spd by 2		--%																	
G-Max Centiferno	G26	Fire	Physical	10	16	--	101%	4.17	0	Selected	Traps All Foes		--%																	
G-Max Vine Lash	G27	Grass	Physical	10	16	--	101%	4.17	0	Selected	Inflicts 1/6 HP to All Non-Grass Type Foes for 4 Turns		--%																	
G-Max Cannonade	G28	Water	Physical	10	16	--	101%	4.17	0	Selected	Inflicts 1/6 HP to All Non-Water Type Foes for 4 Turns		--%																	
G-Max Drum Solo	G29	Grass	Physical	10	16	--	101%	4.17	0	Selected	Ignores Abilities		--%																	
G-Max Volt Crash	G3	Electric	Physical	10	16	--	101%	4.17	0	Selected	Paralyzes All Foe		--%																	
G-Max Fireball	G30	Fire	Physical	10	16	--	101%	4.17	0	Selected	Ignores Abilities		--%																	
G-Max Hydrosnipe	G31	Water	Physical	10	16	--	101%	4.17	0	Selected	Ignores Abilities		--%																	
G-Max One Blow	G32	Dark	Physical	10	16	--	101%	4.17	0	Selected	Ignores and Removes Any Protect Moves		--%																	
G-Max Rapid Blow	G33	Water	Physical	10	16	--	101%	4.17	0	Selected	Ignores and Removes Any Protect Moves		--%																	
G-Max Gold Rush	G4	Normal	Physical	10	16	--	101%	4.17	0	Selected	Confuses All Foes; User Gains Extra Money		--%																	
G-Max Chi Strike	G5	Fighting	Physical	10	16	--	101%	4.17	0	Selected	Raises Team's Critical Hit Ratio		--%																	
G-Max Terror	G6	Ghost	Physical	10	16	--	101%	4.17	0	Selected	Prevents All Foes from Escaping		--%																	
G-Max Resonance	G7	Ice	Physical	10	16	--	101%	4.17	0	Selected	Activates Aurora Veil		--%																	
G-Max Cuddle	G8	Normal	Physical	10	16	--	101%	4.17	0	Selected	Infatuates All Foes		--%																	
G-Max Replenish	G9	Normal	Physical	10	16	--	101%	4.17	0	Selected	Recycles All Used Berries		50%																	
